Game 202,Winthrop,1,Brookline,9,06/21/2023
Game 203,North Andover,2,Marblehead,19,06/21/2023
Game 204,Reading Red,2,Medford,7,06/21/2023
Game 205,Cambridge,13,North End,1,06/21/2023
Game 206,Chelmsford Black,0,Waltham,5,06/21/2023
Game 208,Billerica,9,Jamaica Plain,0,06/21/2023
Game 209,Acton-Boxborough,0,Belmont,8,06/21/2023
Game 207,Bedford,4,Chelmsford Maroon,3,06/22/2023
Game 215,Andover,18,North End,1,06/22/2023
Game 220,Winchester,4,Belmont,13,06/22/2023
Game 223,Acton-Boxborough,16,Jamaica Plain,2,06/22/2023
Game 214,Reading Black,5,Medford,6,06/23/2023
Game 216,Brookline,12,North Andover,3,06/23/2023
Game 221,Chelmsford Black,0,Needham,4,06/23/2023
Game 222,Bedford,9,Billerica,4,06/23/2023
Game 224,Waltham,14,Chelmsford Maroon,5,06/23/2023
Game 227,Haverhill,5,Medford,14,06/26/2023
Game 231,Waltham,6,Needham,1,06/26/2023
Game 233,Acton-Boxborough,0,Winchester,12,06/26/2023
Game 210,Winchester,0,Lincoln-Sudbury,12,06/27/2023
Game 211,Wayland,6,Needham,0,06/27/2023
Game 219,Lincoln-Sudbury,10,Wayland,11,06/27/2023
Game 225,Andover,11,Melrose,3,06/27/2023
Game 229,Brookline,7,Marblehead,9,06/27/2023
Game 232,Lincoln-Sudbury,15,Belmont,3,06/27/2023
Game 235,Bedford,15,Jamaica Plain,3,06/27/2023
Game 218,Melrose,8,Winthrop,0,06/28/2023
Game 226,Melrose,8,North End,9,06/28/2023
Game 245,Lincoln-Sudbury,7,Waltham,8,06/28/2023
Game 247,Belmont,5,Wayland,0,06/28/2023
Game 249,Medford,2,Marblehead,10,06/29/2023
Game 253,Melrose,10,Brookline,10,06/29/2023
Game 254,Reading Red,23,North Andover,0,06/29/2023
Game 255,Belmont,20,Jamaica Plain,10,06/29/2023
Game 257,Winchester,4,Wayland,3,06/29/2023
Game 260,Acton-Boxborough,0,Billerica,13,06/29/2023
Game 251,Reading Black,1,Cambridge,3,06/30/2023
Game 252,Andover,13,Winthrop,0,06/30/2023
Game 256,Lincoln-Sudbury,6,Needham,4,06/30/2023
Game 258,Chelmsford Black,2,Chelmsford Maroon,1,07/01/2023
Game 250,Haverhill,6,North End,3,07/03/2023
Game 259,Waltham,6,Bedford,2,07/05/2023
Game 238,North Andover,2,Andover,23,07/06/2023
Game 261,Brookline,0,Reading Black,9,07/06/2023
Game 267,Bedford,20,Winchester,5,07/06/2023
Game 268,Waltham,34,Acton-Boxborough,1,07/06/2023
Game 270,Belmont,4,Billerica,10,07/06/2023
Game 272,Needham,2,Chelmsford Maroon,8,07/06/2023
Game 237,Reading Black,13,Haverhill,0,07/07/2023
Game 248,Bedford,17,Acton-Boxborough,3,07/07/2023
Game 262,Melrose,1,Reading Red,3,07/07/2023
Game 263,Cambridge,5,Marblehead,3,07/07/2023
Game 264,Medford,20,North Andover,1,07/07/2023
Game 265,Haverhill,1,Andover,16,07/07/2023
Game 266,North End,10,Winthrop,3,07/07/2023
Game 271,Chelmsford Black,4,Lincoln-Sudbury,13,07/07/2023
Game 279,Waltham,2,Belmont,2,07/11/2023
Game 280,Jamaica Plain,5,Lincoln-Sudbury,17,07/11/2023
Game 282,Billerica,12,Winchester,1,07/11/2023
Game 240,North End,2,Reading Black,10,07/11/2023
Game 286,Andover,0,Cambridge,12,07/12/2023
Game 287,Reading Black,4,Andover,1,07/12/2023
Game 290,Brookline,4,Medford,2,07/12/2023
Game 293,Chelmsford Maroon,6,Lincoln-Sudbury,9,07/12/2023
Game 294,Jamaica Plain,10,Needham,11,07/12/2023
Game 295,Billerica,11,Waltham,7,07/12/2023
Game 296,Bedford,6,Belmont,3,07/12/2023
Game 289,Marblehead,4,North End,6,07/13/2023
Game 291,Winchester,0,Chelmsford Black,5,07/13/2023
Game 300,Medford,3,Andover,7,07/13/2023
Game 301,Haverhill,1,Reading Red,13,07/13/2023
Game 302,Reading Black,6,Winthrop,0,07/13/2023
Game 303,Wayland,0,Bedford,12,07/13/2023
Game 305,Needham,0,Billerica,12,07/13/2023
Game 307,Lincoln-Sudbury,15,Acton-Boxborough,1,07/13/2023
Game 308,Chelmsford Maroon,5,Winchester,20,07/13/2023
Game 362,Haverhill,0,North Andover,7,07/13/2023
Game 288,Reading Red,3,Cambridge,5,07/14/2023
Game 297,Brookline,9,Cambridge,14,07/14/2023
Game 298,Melrose,13,Marblehead,10,07/14/2023
Game 299,North End,20,North Andover,9,07/14/2023
Game 306,Belmont,2,Chelmsford Black,3,07/14/2023
Game 212,Cambridge,2,Melrose,6,07/17/2023
Game 239,Marblehead,14,Winthrop,2,07/17/2023
Game 304,Waltham,8,Jamaica Plain,4,07/17/2023
Game 310,Andover,3,Reading Red,4,07/17/2023
Game 312,North End,4,Brookline,5,07/17/2023
Game 313,Winthrop,2,Medford,14,07/17/2023
Game 318,Needham,2,Bedford,4,07/17/2023
Game 319,Chelmsford Maroon,2,Belmont,13,07/17/2023
Game 311,Melrose,0,Cambridge,7,07/18/2023
Game 315,Jamaica Plain,11,Winchester,6,07/18/2023
Game 316,Acton-Boxborough,1,Chelmsford Black,13,07/18/2023
Game 317,Wayland,2,Waltham,14,07/18/2023
Game 320,Billerica,5,Lincoln-Sudbury,7,07/19/2023
Game 326,Marblehead,9,Andover,1,07/19/2023
Game 327,Needham,1,Belmont,3,07/19/2023
Game 328,Wayland,3,Billerica,9,07/19/2023
Game 329,Lincoln-Sudbury,5,Bedford,3,07/19/2023
Game 330,Chelmsford Maroon,19,Acton-Boxborough,1,07/19/2023
Game 228,Reading Red,4,Reading Black,1,07/20/2023
Game 236,Chelmsford Maroon,0,Billerica,12,07/20/2023
Game 322,North End,7,Medford,8,07/20/2023
Game 324,Haverhill,2,Brookline,14,07/20/2023
Game 331,Jamaica Plain,3,Chelmsford Black,4,07/20/2023
Game 332,Winchester,3,Waltham,12,07/20/2023
Game 333,North End,1,Melrose,7,07/20/2023
Game 334,Haverhill,0,Medford,7,07/20/2023
Game 335,Reading Black,5,Reading Red,8,07/20/2023
Game 337,Marblehead,4,Brookline,6,07/20/2023
Game 340,Belmont,3,Lincoln-Sudbury,10,07/20/2023
Game 343,Jamaica Plain,7,Bedford,11,07/20/2023
Game 344,Billerica,14,Chelmsford Maroon,2,07/20/2023
Game 217,Reading Red,11,Marblehead,1,07/21/2023
Game 323,Cambridge,15,North Andover,3,07/21/2023
Game 336,Cambridge,4,Andover,3,07/21/2023
Game 338,North Andover,12,Winthrop,18,07/21/2023
Game 339,Needham,8,Waltham,10,07/21/2023
Game 284,Needham,11,Acton-Boxborough,1,07/23/2023
Game 346,North End,0,Andover,7,07/23/2023
Game 347,North Andover,0,Brookline,7,07/23/2023
Game 213,Haverhill,0,Cambridge,7,07/24/2023
Game 276,North Andover,0,Reading Black,7,07/24/2023
Game 278,North End,0,Reading Red,7,07/24/2023
Game 345,Medford,3,Reading Black,4,07/24/2023
Game 348,Marblehead,12,Reading Red,9,07/24/2023
Game 349,Winthrop,0,Melrose,12,07/24/2023
Game 351,Needham,8,Chelmsford Black,2,07/24/2023
Game 352,Billerica,15,Bedford,10,07/24/2023
Game 357,Cambridge,7,Haverhill,0,07/24/2023
Game 400,North End,0,Cambridge,7,07/24/2023
Game 230,Winthrop,7,North Andover,0,07/25/2023
Game 353,Jamaica Plain,11,Acton-Boxborough,6,07/25/2023
Game 354,Chelmsford Maroon,6,Waltham,7,07/25/2023
Game 355,Wayland,1,Lincoln-Sudbury,5,07/25/2023
Game 363,Winchester,0,Jamaica Plain,7,07/25/2023
Game 269,Wayland,13,Jamaica Plain,2,07/26/2023
Game 309,Marblehead,0,Reading Black,5,07/26/2023
Game 350,Belmont,2,Winchester,13,07/26/2023
Game 356,North Andover,0,Melrose,12,07/26/2023
Game 358,Reading Black,5,Marblehead,10,07/26/2023
Game 359,Reading Red,0,Andover,1,07/26/2023
Game 360,Brookline,5,North End,2,07/26/2023
Game 361,Medford,10,Winthrop,4,07/26/2023
Game 364,Chelmsford Black,5,Acton-Boxborough,8,07/26/2023
Game 367,Belmont,8,Chelmsford Maroon,4,07/26/2023
Game 368,Lincoln-Sudbury,7,Billerica,6,07/26/2023
Game 273,Melrose,12,Medford,16,07/27/2023
Game 274,Haverhill,0,Marblehead,7,07/27/2023
Game 275,Brookline,0,Andover,9,07/27/2023
Game 365,Waltham,9,Wayland,1,07/27/2023
Game 370,Haverhill,0,Marblehead,7,07/27/2023
Game 373,Reading Red,24,North End,2,07/27/2023
Game 374,North Andover,0,Reading Black,25,07/27/2023
Game 380,Billerica,1,Winchester,0,07/27/2023
Game 292,Acton-Boxborough,2,Wayland,14,07/28/2023
Game 342,Chelmsford Black,2,Wayland,3,07/28/2023
Game 366,Bedford,6,Needham,2,07/28/2023
Game 369,Medford,8,Melrose,6,07/28/2023
Game 242,Brookline,5,Reading Red,6,07/30/2023
Game 325,Winthrop,1,Reading Red,13,07/30/2023
Game 285,Melrose,7,Haverhill,6,07/31/2023
Game 381,Andover,23,North Andover,0,07/31/2023
Game 383,Haverhill,4,Melrose,6,07/31/2023
Game 384,Reading Black,5,North End,1,07/31/2023
Game 386,Reading Red,11,Brookline,4,07/31/2023
Game 391,Wayland,2,Belmont,4,07/31/2023
Game 392,Acton-Boxborough,2,Bedford,15,07/31/2023
