Game 500,06/21/2023,Wednesday,5:45 pm,Andover,Acton-Boxborough,ABRHS Field 2,Scheduled
Game 501,06/21/2023,Wednesday,5:45 pm,Wayland/Weston,North Andover,Grogans Field,Scheduled
Game 502,06/21/2023,Wednesday,5:45 pm,Belmont,Wayland,Wayland High School,Scheduled
Game 504,06/21/2023,Wednesday,5:45 pm,Brookline,Woburn,Woburn High School,Scheduled
Game 505,06/21/2023,Wednesday,5:45 pm,Winthrop,Arlington,Spy Pond Park,Scheduled
Game 506,06/21/2023,Wednesday,5:45 pm,Cambridge,Winchester,McDonald Field,Scheduled
Game 507,06/21/2023,Wednesday,5:45 pm,Marblehead,Reading Black,Symonds Field,Scheduled
Game 503,06/21/2023,Wednesday,7:00 pm,Waltham,Billerica,Locke School-Fielding Field,Scheduled
Game 508,06/22/2023,Thursday,5:45 pm,Waltham,Wayland/Weston,Weston High School,Scheduled
Game 509,06/22/2023,Thursday,5:45 pm,Belmont,Lincoln-Sudbury,Feeley Field,Scheduled
Game 510,06/22/2023,Thursday,5:45 pm,Chelmsford,Billerica,Locke School - Boutwell Field,Scheduled
Game 511,06/22/2023,Thursday,5:45 pm,North Andover,Acton-Boxborough,ABRHS Field 2,Scheduled
Game 512,06/22/2023,Thursday,5:45 pm,Wayland,Andover,Andover High School,Scheduled
Game 513,06/22/2023,Thursday,5:45 pm,Melrose,Winchester,McDonald Field,Scheduled
Game 514,06/22/2023,Thursday,5:45 pm,Maynard/Stow,Reading Black,Symonds Field,Scheduled
Game 515,06/22/2023,Thursday,5:45 pm,Brookline,Arlington,Spy Pond Park,Scheduled
Game 516,06/22/2023,Thursday,5:45 pm,Cambridge,Woburn,Woburn High School,Scheduled
Game 517,06/26/2023,Monday,5:45 pm,North Andover,Wayland,Wayland High School,Scheduled
Game 519,06/26/2023,Monday,5:45 pm,Wayland/Weston,Lincoln-Sudbury,Feeley Field,Scheduled
Game 520,06/26/2023,Monday,5:45 pm,Belmont,Chelmsford,Chelmsford High School,Rain-Out
Game 523,06/26/2023,Monday,5:45 pm,Marblehead,Maynard/Stow,Crowe Park,Scheduled
Game 524,06/26/2023,Monday,5:45 pm,Melrose,Winthrop,Winthrop High School,Scheduled
Game 522,06/27/2023,Tuesday,5:45 pm,Arlington,Cambridge,Robbins Farm Park,Scheduled
Game 526,06/27/2023,Tuesday,5:45 pm,Billerica,Belmont,Town Field,Scheduled
Game 530,06/27/2023,Tuesday,5:45 pm,Winchester,Reading Black,Skilling Field,Scheduled
Game 533,06/27/2023,Tuesday,5:45 pm,Maynard/Stow,Reading Red,Symonds Field,Scheduled
Game 534,06/27/2023,Tuesday,5:45 pm,Wayland,Acton-Boxborough,ABRHS Field 2,Scheduled
Game 532,06/27/2023,Tuesday,6:30 pm,Woburn,Melrose,Morelli Field,Scheduled
Game 529,06/27/2023,Tuesday,7:00 pm,Wayland/Weston,Chelmsford,Volunteer Field,Scheduled
Game 527,06/27/2023,Tuesday,7:15 pm,North Andover,Waltham,Cacciatore Field ,Scheduled
Game 536,06/28/2023,Wednesday,5:45 pm,Andover,Belmont,Town Field,Scheduled
Game 537,06/28/2023,Wednesday,5:45 pm,Chelmsford,Lincoln-Sudbury,Feeley Field,Scheduled
Game 538,06/28/2023,Wednesday,5:45 pm,Winthrop,Marblehead,Marblehead High School,Scheduled
Game 542,06/29/2023,Thursday,5:30 pm,Wayland,Billerica,Locke School - Fielding Field,Scheduled
Game 540,06/29/2023,Thursday,5:45 pm,Waltham,Chelmsford,Chelmsford High School,Scheduled
Game 541,06/29/2023,Thursday,5:45 pm,Wayland/Weston,Andover,Doherty Middle School,Scheduled
Game 543,06/29/2023,Thursday,5:45 pm,North Andover,Belmont,Town Field,Scheduled
Game 546,06/29/2023,Thursday,5:45 pm,Winthrop,Woburn,Woburn High School,Scheduled
Game 547,06/29/2023,Thursday,5:45 pm,Cambridge,Maynard/Stow,Crowe Park,Scheduled
Game 601,06/29/2023,Thursday,5:45 pm,Reading Black,Reading Red,Symonds Field,Scheduled
Game 544,06/29/2023,Thursday,6:30 pm,Brookline,Melrose,Morelli Field,Scheduled
Game 521,07/05/2023,Wednesday,7:00 pm,Billerica,Acton-Boxborough,ABRHS Field 1,Scheduled
Game 550,07/06/2023,Thursday,5:30 pm,Wayland,Lincoln-Sudbury,Lincoln Sudbury Regional High,Scheduled
Game 549,07/06/2023,Thursday,5:45 pm,North Andover,Chelmsford,Chelmsford High School,Scheduled
Game 553,07/06/2023,Thursday,5:45 pm,Andover,Billerica,Locke School - Boutwell Field,Scheduled
Game 554,07/06/2023,Thursday,5:45 pm,Reading Red,Maynard/Stow,Crowe Park,Scheduled
Game 552,07/06/2023,Thursday,7:00 pm,Belmont,Wayland/Weston,Weston High School,Scheduled
Game 551,07/06/2023,Thursday,7:15 pm,Acton-Boxborough,Waltham,Cacciatore Field ,Scheduled
Game 535,07/07/2023,Friday,5:45 pm,Brookline,Reading Black,Washington Park,Scheduled
Game 539,07/07/2023,Friday,5:45 pm,Acton-Boxborough,Lincoln-Sudbury,Lincoln Sudbury Regional High,Scheduled
Game 560,07/10/2023,Monday,5:45 pm,Reading Red,Cambridge,Rindge Field,Rain-Out
Game 565,07/11/2023,Tuesday,5:45 pm,Andover,North Andover,Grogans Field,Scheduled
Game 566,07/11/2023,Tuesday,5:45 pm,Wayland,Wayland/Weston,Weston Middle School 456 Wellesley St,Scheduled
Game 567,07/11/2023,Tuesday,5:45 pm,Waltham,Belmont,Town Field,Postponed
Game 571,07/11/2023,Tuesday,5:45 pm,Cambridge,Winthrop,Winthrop High School,Scheduled
Game 572,07/11/2023,Tuesday,5:45 pm,Winchester,Maynard/Stow,Crowe Field,Scheduled
Game 563,07/11/2023,Tuesday,7:00 pm,Lincoln-Sudbury,Billerica,Locke School-Fielding Field,Scheduled
Game 564,07/11/2023,Tuesday,7:00 pm,Chelmsford,Acton-Boxborough,ABRHS Field 1,Scheduled
Game 528,07/12/2023,Wednesday,5:45 pm,Lincoln-Sudbury,Andover,Doherty Middle School,Scheduled
Game 559,07/12/2023,Wednesday,5:45 pm,Arlington,Reading Black,Symonds Field,Scheduled
Game 573,07/12/2023,Wednesday,5:45 pm,Maynard/Stow,Winthrop,Winthrop High School,Scheduled
Game 574,07/12/2023,Wednesday,5:45 pm,Brookline,Marblehead,Marblehead High School,Scheduled
Game 576,07/12/2023,Wednesday,5:45 pm,Melrose,Woburn,Woburn High School,Scheduled
Game 578,07/13/2023,Thursday,5:45 pm,Billerica,Wayland/Weston,Weston High School,Scheduled
Game 579,07/13/2023,Thursday,5:45 pm,Acton-Boxborough,Belmont,Belmont Hill School JV Field,Scheduled
Game 580,07/13/2023,Thursday,5:45 pm,Andover,Chelmsford,Chelmsford High School,Scheduled
Game 582,07/13/2023,Thursday,5:45 pm,Winthrop,Reading Black,Symonds Field,Scheduled
Game 583,07/13/2023,Thursday,5:45 pm,Winchester,Brookline,Warren Field,Scheduled
Game 584,07/13/2023,Thursday,5:45 pm,Woburn,Reading Red,Washington Park,Scheduled
Game 581,07/13/2023,Thursday,7:00 pm,North Andover,Lincoln-Sudbury,Feeley Field,Scheduled
Game 531,07/14/2023,Friday,5:45 pm,Arlington,Marblehead,Marblehead High School,Scheduled
Game 569,07/14/2023,Friday,5:45 pm,Reading Red,Brookline,Amory Field,Scheduled
Game 568,07/14/2023,Friday,6:30 pm,Reading Black,Melrose,Morelli Field,Scheduled
Game 589,07/17/2023,Monday,5:30 pm,Billerica,Waltham,Cacciatore Field,Scheduled
Game 587,07/17/2023,Monday,5:45 pm,Acton-Boxborough,Andover,Doherty Middle School,Scheduled
Game 588,07/17/2023,Monday,5:45 pm,North Andover,Wayland/Weston,Weston High School,Scheduled
Game 590,07/17/2023,Monday,5:45 pm,Lincoln-Sudbury,Chelmsford,Lincoln Sudbury Regional High,Scheduled
Game 591,07/17/2023,Monday,5:45 pm,Arlington,Maynard/Stow,Crowe Field,Scheduled
Game 592,07/17/2023,Monday,5:45 pm,Winchester,Cambridge,Rindge Field,Scheduled
Game 593,07/17/2023,Monday,5:45 pm,Reading Black,Marblehead,Marblehead High School,Scheduled
Game 586,07/17/2023,Monday,6:30 pm,Reading Red,Melrose,Morelli Field,Scheduled
Game 594,07/18/2023,Tuesday,5:30 pm,Wayland/Weston,Waltham,Cacciatore Field,Scheduled
Game 595,07/18/2023,Tuesday,5:45 pm,Lincoln-Sudbury,Belmont,Town Field,Scheduled
Game 597,07/18/2023,Tuesday,5:45 pm,Acton-Boxborough,North Andover,Grogans Field,Scheduled
Game 599,07/18/2023,Tuesday,5:45 pm,Marblehead,Winthrop,Winthrop High School,Scheduled
Game 602,07/18/2023,Tuesday,5:45 pm,Arlington,Brookline,Amory Field,Scheduled
Game 603,07/18/2023,Tuesday,5:45 pm,Woburn,Cambridge,Rindge Field,Scheduled
Game 600,07/18/2023,Tuesday,6:30 pm,Winchester,Melrose,Morelli Field,Scheduled
Game 596,07/18/2023,Tuesday,7:00 pm,Billerica,Chelmsford,Volunteer Field,Scheduled
Game 518,07/18/2023,Tuesday,8:00 pm,Waltham,Andover,Cacciatore Field,Scheduled
Game 604,07/19/2023,Wednesday,5:45 pm,Melrose,Reading Red,Washington Park,Scheduled
Game 605,07/19/2023,Wednesday,5:45 pm,Woburn,Brookline,Amory Field,Scheduled
Game 606,07/19/2023,Wednesday,5:45 pm,Waltham,Lincoln-Sudbury,Lincoln Sudbury Regional High School,Scheduled
Game 607,07/19/2023,Wednesday,5:45 pm,Maynard/Stow,Marblehead,Seaside Park,Scheduled
Game 608,07/19/2023,Wednesday,5:45 pm,Cambridge,Reading Black,Symonds,Scheduled
Game 616,07/20/2023,Thursday,5:00 pm,Reading Red,Winchester,Skillings Field,Scheduled
Game 610,07/20/2023,Thursday,5:30 pm,Andover,Waltham,Doherty Middle School,Scheduled
Game 609,07/20/2023,Thursday,5:45 pm,Wayland,North Andover,Grogans Field,Scheduled
Game 611,07/20/2023,Thursday,5:45 pm,Lincoln-Sudbury,Wayland/Weston,Weston High School,Postponed
Game 612,07/20/2023,Thursday,5:45 pm,Chelmsford,Belmont,Belmont Hill School JV Field,Scheduled
Game 614,07/20/2023,Thursday,5:45 pm,Cambridge,Arlington,Spy Pond Park,Scheduled
Game 615,07/20/2023,Thursday,5:45 pm,Woburn,Marblehead,Seaside Park,Scheduled
Game 617,07/20/2023,Thursday,5:45 pm,Reading Black,Maynard/Stow,Crowe Field,Scheduled
Game 613,07/20/2023,Thursday,7:00 pm,Acton-Boxborough,Billerica,Locke School-Fielding Field,Scheduled
Game 525,07/20/2023,Thursday,7:15 pm,Winchester,Reading Red,Skillings Park,Scheduled
Game 562,07/21/2023,Friday,5:45 pm,Winthrop,Brookline,Amory Field,Scheduled
Game 585,07/23/2023,Sunday,6:30 pm,Arlington,Melrose,Pine Banks Turf,Scheduled
Game 622,07/24/2023,Monday,5:15 pm,Reading Black,Winchester,Skillings Field,Scheduled
Game 619,07/24/2023,Monday,5:45 pm,Acton-Boxborough,Wayland,Wayland High School,Scheduled
Game 620,07/24/2023,Monday,5:45 pm,Waltham,North Andover,Grogans Field,Scheduled
Game 621,07/24/2023,Monday,5:45 pm,Chelmsford,Wayland/Weston,Weston High School,Scheduled
Game 623,07/24/2023,Monday,5:45 pm,Marblehead,Arlington,Spy Pond Park,Scheduled
Game 624,07/24/2023,Monday,5:45 pm,Reading Red,Winthrop,Winthrop High School,Scheduled
Game 637,07/24/2023,Monday,5:45 pm,Woburn,Maynard/Stow,Crowe Field,Scheduled
Game 618,07/24/2023,Monday,7:00 pm,Belmont,Billerica,Locke School-Fielding Field,Scheduled
Game 626,07/25/2023,Tuesday,5:30 pm,Chelmsford,Waltham,Nipper Maher,Rain-Out
Game 628,07/25/2023,Tuesday,5:45 pm,Billerica,Wayland,Wayland High School,Rain-Out
Game 629,07/25/2023,Tuesday,5:45 pm,Belmont,North Andover,Grogans Field,Rain-Out
Game 630,07/25/2023,Tuesday,5:45 pm,Melrose,Brookline,Amory Field,Rain-Out
Game 625,07/25/2023,Tuesday,7:00 pm,Lincoln-Sudbury,Acton-Boxborough,ABRHS Field 1,Rain-Out
Game 627,07/25/2023,Tuesday,7:00 pm,Andover,Wayland/Weston,Weston High School,Rain-Out
Game 545,07/26/2023,Wednesday,5:45 pm,Marblehead,Reading Red,Symonds ,Scheduled
Game 635,07/26/2023,Wednesday,5:45 pm,Wayland,Belmont,Town Field,Scheduled
Game 636,07/26/2023,Wednesday,5:45 pm,Andover,Lincoln-Sudbury,Lincoln Sudbury High School,Scheduled
Game 638,07/26/2023,Wednesday,5:45 pm,Maynard/Stow,Brookline,Warren Field,Scheduled
Game 646,07/27/2023,Thursday,5:15 pm,Winthrop,Winchester,Skillings Field,Scheduled
Game 639,07/27/2023,Thursday,5:45 pm,Chelmsford,North Andover,Grogans Field,Scheduled
Game 640,07/27/2023,Thursday,5:45 pm,Lincoln-Sudbury,Wayland,Wayland High School,Scheduled
Game 642,07/27/2023,Thursday,5:45 pm,Wayland/Weston,Belmont,Belmont Hill School JV Field,Scheduled
Game 643,07/27/2023,Thursday,5:45 pm,Billerica,Andover,Doherty Middle School,Scheduled
Game 645,07/27/2023,Thursday,5:45 pm,Marblehead,Brookline,Amory Field,Scheduled
Game 647,07/27/2023,Thursday,5:45 pm,Maynard/Stow,Woburn,Woburn High School,Rain-Out
Game 641,07/27/2023,Thursday,7:00 pm,Waltham,Acton-Boxborough,ABRHS Field 1,Scheduled
Game 631,07/28/2023,Friday,5:45 pm,Reading Red,Marblehead,Seaside Park,Scheduled
Game 632,07/30/2023,Sunday,4:00 pm,Woburn,Winthrop,Winthrop High School,Scheduled
Game 548,07/30/2023,Sunday,5:00 pm,Arlington,Winchester,Robillard Field,Scheduled
Game 644,07/30/2023,Sunday,5:00 pm,Melrose,Cambridge,Pine Banks Turf,Scheduled
Game 555,07/30/2023,Sunday,6:30 pm,Cambridge,Melrose,Pine Banks Turf,Cancelled
Game 634,07/30/2023,Sunday,7:15 pm,Winchester,Arlington,Robillard Field,Scheduled
Game 655,07/31/2023,Monday,5:15 pm,Chelmsford,Wayland,Weston High School,Scheduled
Game 558,07/31/2023,Monday,5:30 pm,Acton-Boxborough,Wayland/Weston,ABRHS Field 1,Scheduled
Game 649,07/31/2023,Monday,5:30 pm,North Andover,Billerica,Locke School-Fielding Field,Scheduled
Game 650,07/31/2023,Monday,5:30 pm,Lincoln-Sudbury,Waltham,Cacciatore Field ,Scheduled
Game 648,07/31/2023,Monday,5:45 pm,Belmont,Andover,Andover High School,Cancelled
Game 651,07/31/2023,Monday,5:45 pm,Winchester,Woburn,Woburn High School,Scheduled
Game 652,07/31/2023,Monday,5:45 pm,Reading Black,Arlington,Spy Pond Park,Scheduled
Game 653,07/31/2023,Monday,5:45 pm,Cambridge,Reading Red,Symonds Field,Scheduled
Game 654,07/31/2023,Monday,5:45 pm,Brookline,Winthrop,Winthrop High School,Scheduled
Game 561,07/31/2023,Monday,7:00 pm,Maynard/Stow,Melrose,Pine Banks Grass,Scheduled
Game 556,07/31/2023,Monday,7:30 pm,Billerica,North Andover,Locke School - Fiedling Field,Scheduled
Game 575,07/31/2023,Monday,7:30 pm,Wayland/Weston,Acton-Boxborough,ABRHS Field 1,Scheduled
Game 557,07/31/2023,Monday,7:45 pm,Wayland,Chelmsford,Weston High School,Scheduled
Game 660,08/01/2023,Tuesday,5:30 pm,Belmont,Waltham,Cacciatore Field,Cancelled
Game 656,08/01/2023,Tuesday,5:45 pm,Billerica,Lincoln-Sudbury,Feeley Field,Scheduled
Game 658,08/01/2023,Tuesday,5:45 pm,North Andover,Andover,Andover High School,Scheduled
Game 661,08/01/2023,Tuesday,5:45 pm,Melrose,Reading Black,Washington Field,Scheduled
Game 662,08/01/2023,Tuesday,5:45 pm,Brookline,Reading Red,Symonds Field,Scheduled
Game 663,08/01/2023,Tuesday,5:45 pm,Woburn,Arlington,Spy Pond Park,Scheduled
Game 665,08/01/2023,Tuesday,5:45 pm,Marblehead,Winchester,Skillings Field,Scheduled
Game 657,08/01/2023,Tuesday,7:00 pm,Acton-Boxborough,Chelmsford,Volunteer Field,Scheduled
Game 659,08/01/2023,Tuesday,7:00 pm,Wayland/Weston,Wayland,Weston High School,Scheduled
Game 664,08/01/2023,Tuesday,7:30 pm,Winthrop,Cambridge,St Peters,Scheduled
Game 570,08/02/2023,Wednesday,5:45 pm,Arlington,Woburn,Spy Pond Field,Scheduled
Game 598,08/02/2023,Wednesday,5:45 pm,Andover,Wayland,Wayland High School,Scheduled
Game 633,08/02/2023,Wednesday,5:45 pm,Reading Black,Cambridge,St Peters,Scheduled
Game 667,08/02/2023,Wednesday,5:45 pm,Melrose,Marblehead,Seaside Park,Scheduled
Game 666,08/02/2023,Wednesday,6:30 pm,Winthrop,Maynard/Stow,Crowe Park,Scheduled
Game 668,08/03/2023,Thursday,5:30 pm,Wayland,Waltham,Cacciatore Field ,Scheduled
Game 671,08/03/2023,Thursday,5:45 pm,Chelmsford,Andover,Andover High School,Scheduled
Game 672,08/03/2023,Thursday,5:45 pm,Lincoln-Sudbury,North Andover,Grogans Field,Scheduled
Game 673,08/03/2023,Thursday,5:45 pm,Marblehead,Cambridge,Rindge Field,Scheduled
Game 674,08/03/2023,Thursday,5:45 pm,Reading Black,Winthrop,Winthrop High School,Scheduled
Game 675,08/03/2023,Thursday,5:45 pm,Brookline,Winchester,Skillings Field,Scheduled
Game 676,08/03/2023,Thursday,5:45 pm,Reading Red,Woburn,Woburn High School,Scheduled
Game 677,08/03/2023,Thursday,5:45 pm,Maynard/Stow,Arlington,Spy Pond Park,Scheduled
Game 669,08/03/2023,Thursday,7:00 pm,Wayland/Weston,Billerica,Locke School-Fielding Field,Cancelled
Game 670,08/03/2023,Thursday,7:00 pm,Belmont,Acton-Boxborough,ABRHS Field 1,Scheduled
Game 577,08/03/2023,Thursday,7:30 pm,Waltham,Wayland,Cacciatore Field,Scheduled
Game 680,08/07/2023,Monday,12:00 am,8 Seed,1 Seed,"",Scheduled
Game 681,08/07/2023,Monday,12:00 am,5 Seed,4 Seed,"",Scheduled
Game 682,08/07/2023,Monday,12:00 am,7 Seed,2 Seed,"",Scheduled
Game 683,08/07/2023,Monday,12:00 am,6 Seed,3 Seed,"",Scheduled
Game 684,08/08/2023,Tuesday,12:00 am,Winner Game 680,Winner Game 681,Winner Advances to Final Four Saturday 8/12,Scheduled
Game 685,08/08/2023,Tuesday,12:00 am,Winner Game 682,Winner Game 683,Winner Advances to Final Four Saturday 8/12,Scheduled
Game 686,08/08/2023,Tuesday,12:00 am,Loser Game 680,Loser Game 681,Loser Eliminated,Scheduled
Game 687,08/08/2023,Tuesday,12:00 am,Loser Game 682,Loser Game 683,Loser Eliminated,Scheduled
Game 688,08/10/2023,Thursday,12:00 am,Loser Game 684,Winner Game 686,Winner Advances to Final Four Saturday 8/12,Scheduled
Game 689,08/10/2023,Thursday,12:00 am,Loser Game 685,Winner Game 687,Winner Advances to Final Four Saturday 8/12,Scheduled
Game 690,08/12/2023,Saturday,10:00 am,Lowest Remaining Seed,Highest Remaining Seed,Pine Banks Turf,Scheduled
Game 691,08/12/2023,Saturday,10:00 am,2nd Lowest Remaining Seed,2nd Highest Remaining Seed,Pine Banks Grass,Scheduled
Game 692,08/13/2023,Sunday,9:30 am,Winner Game 688,Winner Game 689,Morelli Field,Scheduled
